type of therapy,ta_id,sar_action,lval_1,lval_2,lval_3,c_lval_1,c_lval_2,c_lval_3,quantification,commens,description
normal,groupa,a_groupa_to_listen_to_the_radio,low,medium,high,0,7,14,,,to listen to the radio
normal,groupa,a_groupa_to_listen_to_music,low,medium,high,0,7,14,,,to listen to music
normal,groupa,a_groupa_to_read_a_novel,low,medium,high,0,7,14,,,to read a novel
normal,groupa,a_groupa_to_read_abook_about_psychology,low,medium,high,0,7,14,,,to read abook about psychology
normal,groupa,a_groupa_to_read_a_biography_book,low,medium,high,0,7,14,,,to read a biography book
normal,groupa,a_groupa_to_read_a_comic_book,low,medium,high,0,7,14,,,to read a comic book
normal,groupa,a_groupa_to_read_a_scientific_article,low,medium,high,0,7,14,,,to read a scientific article
normal,groupa,a_groupa_to_study,low,medium,high,0,7,14,,,to study
normal,groupa,a_groupa_to_do_my_course_assignments,low,medium,high,0,7,14,,,to do my course assignments
normal,groupa,a_groupa_to_watch_tv,low,medium,high,0,7,14,,,to watch tv
normal,groupa,a_groupa_to_watch_Netflix,low,medium,high,0,7,14,,,to watch Netflix
normal,groupa,a_groupa_to_watch_a_romantic_movie,low,medium,high,0,7,14,,,to watch a romantic movie
normal,groupa,a_groupa_to_watch_an_action_movie,low,medium,high,0,7,14,,,to watch an action movie
normal,groupa,a_groupa_to_watch_an_adventure_movie,low,medium,high,0,7,14,,,to watch an adventure movie
normal,groupa,a_groupa_to_watch_a_documentary_about_history,low,medium,high,0,7,14,,,to watch a documentary about history
normal,groupa,a_groupa_to_watch_a_documentary_about_nature,low,medium,high,0,7,14,,,to watch a documentary about nature
normal,groupa,a_groupa_to_watch_a_science_fiction_movie,low,medium,high,0,7,14,,,to watch a science fiction movie
normal,groupa,a_groupa_to_watch_a_Disney_animation,low,medium,high,0,7,14,,,to watch a Disney animation
normal,groupa,a_groupa_to_read/reply_to_my_emails,low,medium,high,0,7,14,,,to read/reply to my emails
normal,groupb,a_groupb_to_make_work-related_calls,low,medium,high,0,7,14,,,to make work-related calls
normal,groupb,a_groupb_to_have_work-related_meetings,low,medium,high,0,7,14,,,to have work-related meetings
normal,groupb,a_groupb_to_surf_social_media�,low,medium,high,0,7,14,,,to surf social media�
normal,groupb,a_groupb_to_talk_to_my_family,low,medium,high,0,7,14,,,to talk to my family
normal,groupb,a_groupb_to_talk_to_my_friends�,low,medium,high,0,7,14,,,to talk to my friends�
normal,groupb,a_groupb_to_visit_a_friend,low,medium,high,0,7,14,,,to visit a friend
normal,groupb,a_groupb_to_go_to_a_restaurant,low,medium,high,0,7,14,,,to go to a restaurant
normal,groupb,a_groupb_to_go_for_a_drink,low,medium,high,0,7,14,,,to go for a drink
normal,groupb,a_groupb_to_go_to_the_movies,low,medium,high,0,7,14,,,to go to the movies
normal,groupb,a_groupb_to_prepare_food_for_family,low,medium,high,0,7,14,,,to prepare food for family
normal,groupb,a_groupb_to_drink_a_coffee/tea,low,medium,high,0,7,14,,,to drink a coffee/tea
normal,groupb,a_groupb_to_cook/bake,low,medium,high,0,7,14,,,to cook/bake
normal,groupb,a_groupb_to_play_chess,low,medium,high,0,7,14,,,to play chess
normal,groupb,a_groupb_to_do_jigsaw_puzzles,low,medium,high,0,7,14,,,to do jigsaw puzzles
normal,groupb,a_groupb_to_play_videogames,low,medium,high,0,7,14,,,to play videogames
normal,groupb,a_groupb_to_play_a_board_game,low,medium,high,0,7,14,,,to play a board game
normal,groupb,a_groupb_to_play_the_guitar,low,medium,high,0,7,14,,,to play the guitar
normal,groupb,a_groupb_to_clean_the_house,low,medium,high,0,7,14,,,to clean the house
normal,groupb,a_groupb_to_walk_my_dog,low,medium,high,0,7,14,,,to walk my dog
normal,groupc,a_groupc_to_water_the_plants,low,medium,high,0,7,14,,,to water the plants
normal,groupc,a_groupc_to_work_in_the_garden,low,medium,high,0,7,14,,,to work in the garden
normal,groupc,a_groupc_to_iron_the_clothes,low,medium,high,0,7,14,,,to iron the clothes
normal,groupc,a_groupc_to_do_the_laundry,low,medium,high,0,7,14,,,to do the laundry
normal,groupc,a_groupc_to_buy_the_groceries,low,medium,high,0,7,14,,,to buy the groceries
normal,groupc,a_groupc_to_practice_a_foreign�language,low,medium,high,0,7,14,,,to practice a foreign�language
normal,groupc,a_groupc_to_go_to_the_gym,low,medium,high,0,7,14,,,to go to the gym
normal,groupc,a_groupc_to_go_to_the_swimming_pool,low,medium,high,0,7,14,,,to go to the swimming pool
normal,groupc,a_groupc_to_exercise,low,medium,high,0,7,14,,,to exercise
normal,groupc,a_groupc_to_have_a_walk,low,medium,high,0,7,14,,,to have a walk
